Transpose (lab3)
testing option 0
testing option 1
testing option 2
size,   ij,   ji, 4x4d
8,  1584, 714, 543
24,  1449, 1086, 1041
56,  6129, 5541, 3066
104,  22308, 13818, 9357
168,  52140, 33252, 24762
248,  118413, 77550, 57603
344,  275655, 139224, 121011
456,  449280, 257661, 213426
584,  844737, 617709, 328674
728,  1357119, 1011675, 552834

Wakeup delay calculated -1.038397
