Transpose (lab3)
testing option 0
testing option 1
testing option 2
size,   ij,   ji, fast_transpose
8,  2385, 735, 564
24,  1353, 1185, 933
56,  5784, 4968, 2664
104,  19131, 12342, 7194
168,  50508, 28788, 19881
248,  107946, 70593, 45615
344,  208809, 132399, 94020
456,  459297, 233091, 186948
584,  1017123, 499947, 327906
728,  1446543, 888570, 440511

Wakeup delay calculated -1.038397
