Transpose (lab3)
testing option 0
testing option 1
testing option 2
size,   ij,   ji, 4x4d
8,  1695, 678, 807
24,  2847, 1245, 963
56,  10281, 4188, 3150
104,  28365, 13836, 9264
168,  43467, 32646, 24510
248,  107964, 74448, 59439
344,  198162, 136869, 120501
456,  429660, 258777, 211746
584,  867498, 611439, 330030
728,  1396689, 1017183, 541446

Wakeup delay calculated -1.038397
