SOR OMEGA test,,,,,,,,,,
Array size = 64 x 64,,,,,,,,,,
0.8,2808,2857,3144,3868,3497,3605,3460,2322,2876,2329
0.81,1973,2792,2997,3228,3387,1571,2719,3182,3333,3658
0.81,3450,1408,2152,3207,1687,2882,3245,2612,3202,3068
0.82,3579,3722,3482,3341,2871,2920,2238,3770,2466,3084
0.82,3673,1843,3159,3305,3294,2856,3512,2740,3032,3796
0.83,3498,1758,2792,3180,3394,1752,3511,2293,3195,1632
0.83,2884,2935,2578,1558,2614,2644,2970,3304,3199,2728
0.84,2514,2803,3504,2810,3001,3095,2146,2084,3103,3107
0.84,3196,2325,1752,2621,3296,2889,3298,3716,3284,3298
0.85,3559,2993,3225,3088,3378,3653,1481,3145,2348,3591
0.85,3787,3588,3294,3021,2511,2170,3444,3250,3038,2660
0.86,2775,2293,2730,3176,3197,2471,2750,2471,2679,2432
0.86,3175,3162,2604,2676,2176,3054,1602,3030,3074,3284
0.87,3055,3313,2368,2894,3322,3178,2502,2400,2971,2974
0.87,2734,2970,3024,3323,2068,3040,2834,2893,2574,3022
0.88,2756,2563,1377,3303,1733,1247,2966,3059,3345,3019
0.88,1847,3156,2812,2749,2566,3017,2686,1318,3317,2691
0.89,1986,2516,2834,1229,2798,2203,2280,3024,2078,2049
0.89,1907,2422,2908,2737,3093,2803,2141,2788,3063,2984
0.9,3067,2733,1593,2944,3262,2665,3010,3299,2212,2482
0.9,2939,2496,2794,2895,2828,2957,2803,2940,2297,2606
0.91,2731,2443,2304,1781,2951,1531,1508,2237,2786,1797
0.91,1858,1894,2851,2954,2676,2996,1569,2766,2455,2429
0.92,1346,1510,2603,2001,3176,2317,2885,2813,2356,2702
0.92,2783,2786,2680,2489,2707,2249,1823,2294,2850,2092
0.93,1741,2789,2242,1853,3023,2898,1797,2015,2187,2607
0.93,2224,2602,2669,2350,1393,1318,2532,2393,2368,2134
0.94,2286,2189,1920,2800,1068,2573,2455,2752,1693,2430
0.94,2726,2874,1618,1928,2310,1277,2477,2256,1529,2681
0.95,1092,2243,2583,2504,2670,2357,2615,2367,2470,2573
0.95,2400,2299,2290,2001,2023,2147,2194,1760,2574,2372
0.96,2588,2613,2486,2559,2656,2264,2035,1831,2035,2096
0.96,2619,2498,2467,2117,1361,2104,2280,2144,2431,2480
0.97,2699,2070,1298,2300,2711,1772,1134,2089,2454,2450
0.97,2157,2575,2453,1984,2596,2824,2893,1927,2691,2434
0.98,2407,1724,2211,2366,2095,2255,1957,2590,1361,2455
0.98,2067,1778,2252,1576,2095,2417,2516,1997,2727,1159
0.99,2440,1963,2199,2253,2438,1284,1371,2619,2504,2064
0.99,2341,2245,1988,2343,2767,2220,2623,1962,2004,1765
1,2516,2395,1778,2339,2016,2187,2528,2417,2061,2161
1,1925,1844,2258,1093,2015,2200,2540,1998,1771,1796
1.01,2144,1098,2227,1998,2456,2289,2470,2032,2429,2451
1.01,1870,2184,2258,2019,2197,2093,2199,1438,1681,2305
1.01,2361,839,1474,2003,2544,1798,2615,2205,1399,2286
1.02,1950,1470,1323,2068,2485,2136,2163,2187,1717,2331
1.02,1784,1992,1474,2395,1168,2076,2307,2204,1666,2009
1.03,1454,2433,1723,1849,1952,1742,2099,2261,1761,1456
1.03,1995,1858,2227,2113,1663,1847,1758,2154,994,1900
1.04,2381,908,1678,1390,2308,2199,1773,2096,2256,1871
1.04,2306,2334,1770,1731,2260,2240,2393,2084,1624,1220
1.05,2096,1932,1950,2324,1464,1634,1961,2271,1993,1839
1.05,2610,2408,1871,2008,2158,2261,2076,2211,2136,1983
1.06,1689,1522,1770,1686,2099,2211,1523,2304,1940,1317
1.06,1803,2084,1921,1932,1467,1359,2005,1461,1592,1175
1.07,1591,1297,2026,2045,2246,1899,1761,1588,2063,2279
1.07,1486,2191,939,1725,2274,1207,2130,1934,1639,1948
1.08,1552,1775,1947,1852,1697,2125,1251,1426,2067,2293
1.08,1831,847,1839,1732,2134,1967,2214,1922,1705,1899
1.09,1257,1529,1792,1510,1789,2144,1534,1809,1128,1346
1.09,1829,1847,1329,1707,1650,1848,2019,2079,2077,1902
1.1,1824,1574,1536,1148,2150,1339,1636,1886,1920,1747
1.1,1737,1474,1880,1475,1800,1941,1757,2064,1332,1723
1.11,879,906,2024,2093,1478,873,1704,1528,1712,1839
1.11,1470,1021,1692,1966,1624,1984,1939,1508,1838,1464
1.12,1137,1621,1742,1634,1629,2143,1674,2105,1649,1777
1.12,1841,1698,812,1952,1777,1615,1417,1849,1963,1693
1.13,881,1499,1779,1930,1912,2086,1582,1370,1689,1856
1.13,1809,1491,1924,1652,2042,1816,1616,1294,1443,1643
1.14,1808,1543,1828,2060,1622,1579,1958,1575,2035,1182
1.14,1988,1921,1844,1087,1674,1585,1674,1691,1901,2000
