SOR OMEGA test,,,,,,,,,,
Array size = 64 x 64,,,,,,,,,,
1.32,1233,1379,834,1345,1227,1404,860,627,1378,1316
1.33,1254,1238,569,870,1209,765,1190,1220,1293,910
1.34,1234,581,1264,1127,1135,845,1201,1135,1066,1209
1.35,1189,1116,933,1072,1262,887,1147,527,1016,816
1.36,1038,1005,1099,768,1284,1344,1098,1016,1071,1211
1.37,1069,989,1276,1005,1189,1065,1028,825,900,893
1.38,1224,1213,1093,798,1110,1142,871,1213,981,1067
1.39,970,640,1103,1113,1114,1015,1218,908,1059,907
1.4,489,1193,1244,840,1086,1050,781,1141,885,622
1.41,1111,1130,1072,1105,628,833,1129,1164,1184,845
1.42,828,1174,853,1022,1008,971,1049,1076,622,1119
1.43,858,841,1110,1086,842,847,1031,987,1039,944
1.44,645,520,832,1023,747,899,929,947,1126,1106
1.45,831,617,922,476,570,917,980,973,1041,1002
1.46,784,979,844,933,925,955,1068,758,834,581
1.47,991,959,700,767,737,769,980,619,876,829
1.48,745,767,886,930,976,798,964,923,657,1050
1.49,819,937,987,831,838,867,1033,783,918,830
1.5,810,974,984,799,843,756,713,855,883,814
1.51,510,736,762,664,883,737,838,863,805,836
1.52,827,856,540,744,855,883,773,915,884,777
1.53,765,885,771,373,628,892,809,744,710,906
1.54,902,744,726,819,775,778,660,841,413,454
1.55,679,813,798,826,748,783,718,666,814,645
1.56,791,790,680,705,819,762,780,741,702,832
1.57,681,781,815,844,663,594,697,507,524,676
1.58,606,788,672,345,353,684,580,794,803,538
1.59,717,686,566,673,654,690,628,660,602,753
1.6,651,632,727,408,396,767,618,615,331,650
1.61,619,632,494,617,538,641,507,608,740,584
1.62,608,596,663,406,586,666,599,693,649,594
1.63,616,587,666,635,616,616,458,669,300,703
1.64,606,595,566,595,573,516,654,630,561,618
1.65,608,380,472,645,616,657,470,584,582,602
1.66,497,600,586,625,619,443,577,564,557,531
1.67,534,558,552,584,593,458,574,480,485,420
1.68,382,541,548,503,508,348,459,545,452,388
1.69,471,520,489,400,387,531,544,509,417,321
1.7,338,462,523,474,486,468,387,478,471,486
1.71,416,321,476,363,488,444,515,330,478,487
1.72,383,471,216,440,473,455,479,421,516,459
1.73,368,420,481,472,430,474,379,467,198,213
1.74,379,392,466,453,453,374,378,286,445,434
1.75,413,377,414,418,260,424,393,399,234,427
1.76,353,428,378,202,335,416,429,398,259,379
1.77,297,386,401,379,406,381,296,407,417,350
1.78,327,348,373,350,329,228,384,341,331,367
1.79,331,365,332,308,287,188,376,356,234,258
1.8,140,309,283,280,321,308,304,310,259,316
1.81,309,308,326,306,320,309,231,309,334,267
1.82,183,204,304,291,286,207,262,314,216,308
1.83,286,266,165,245,252,286,274,277,217,197
1.84,244,251,236,253,249,265,272,178,210,210
1.85,173,230,159,255,184,213,223,224,240,230
1.86,214,215,207,206,135,154,215,211,164,223
1.87,188,179,221,199,215,207,206,191,167,222
1.88,166,165,174,175,180,183,201,155,168,192
1.89,172,183,148,162,163,169,174,151,150,162
1.9,160,161,163,159,159,159,158,159,160,158
1.91,174,174,173,173,176,174,173,174,175,175
1.92,194,194,194,194,194,195,194,194,195,194
1.93,220,220,219,219,220,220,219,220,219,220
1.94,251,253,252,253,251,253,250,252,253,252
1.95,297,297,297,297,298,297,298,298,297,297
1.96,369,368,369,370,369,369,370,369,368,370
1.97,488,487,486,488,487,490,489,487,488,488
1.98,729,729,729,729,728,728,728,730,730,730
1.99,1458,1455,1455,1456,1456,1454,1456,1455,1459,1453
,,,,,,,,,,
OMEGA, average iterations,,,,,,,,,
0.5000 5891.8,, 5891.8,5891.8,0.5000 ,0.5000,,,,,
0.5100 5435.9,, 5435.9,5435.9,0.5100 ,0.5100,,,,,
